"Gender","year","med","smoothed"
"Female",1930,0.243097692879476,0.203148455382078
"Female",1931,0.218198660148166,0.209714687642133
"Female",1932,0.218367344914544,0.215929547046551
"Female",1933,0.241827245194079,0.221739071407462
"Female",1934,0.202659779114482,0.227089298536999
"Female",1935,0.200447764956561,0.231926266247293
"Female",1936,0.195749789862481,0.236214615153774
"Female",1937,0.180057667954668,0.240001411290728
"Female",1938,0.227913989119975,0.243356330598578
"Female",1939,0.227624771910965,0.246349049017743
"Female",1940,0.254143180448439,0.249049242488644
"Female",1941,0.275246956521772,0.251286550624918
"Female",1942,0.265743768723595,0.252949874715901
"Female",1943,0.275935847598991,0.25419778321556
"Female",1944,0.290659226626874,0.255188844577865
"Female",1945,0.315615192208727,0.256081627256783
"Female",1946,0.300798691493237,0.256544780356833
"Female",1947,0.303646770374557,0.256304950923626
"Female",1948,0.288662286422123,0.255607704322772
"Female",1949,0.27519244677671,0.25469860591988
"Female",1950,0.243143039201902,0.253823221080559
"Female",1951,0.221327210753244,0.251751325388328
"Female",1952,0.227029147460639,0.247759493157969
"Female",1953,0.22753849322039,0.24285348785199
"Female",1954,0.222719880791872,0.238039072932899
"Female",1955,0.194335032939147,0.234322011863202
"Female",1956,0.205932264909361,0.232708068105406
"Female",1957,0.20515818981154,0.232950003547463
"Female",1958,0.238331129138562,0.233968140505421
"Female",1959,0.215237661920351,0.235519583083931
"Female",1960,0.209336419373653,0.237361435387646
"Female",1961,0.240765340928311,0.239250801521218
"Female",1962,0.255532254828571,0.242494997057341
"Female",1963,0.298096591387459,0.247775760244691
"Female",1964,0.271450475505172,0.253911829201899
"Female",1965,0.270115004679409,0.259721942047591
"Female",1966,0.280638174247785,0.264024836900396
"Female",1967,0.274686404235705,0.267606801160457
"Female",1968,0.27665607292028,0.27174579498518
"Female",1969,0.268365766298692,0.275998065629088
"Female",1970,0.278614732039878,0.279919860346702
"Female",1971,0.277878030788764,0.283067426392547
"Female",1972,0.272119518282067,0.285344983156851
"Female",1973,0.28953946806923,0.287070991910089
"Female",1974,0.283427903831728,0.288423062727146
"Female",1975,0.277311029577543,0.289578805682911
"Female",1976,0.291941343147276,0.290715830852271
"Female",1977,0.279679278275273,0.292011748310113
"Female",1978,0.318650663269187,0.293637835680639
"Female",1979,0.299215530717983,0.29548142514003
"Female",1980,0.287670010407875,0.297294208591142
"Female",1981,0.291141461638461,0.298827877936835
"Female",1982,0.301849048812702,0.299834125079965
"Female",1983,0.315336717503871,0.300616916199063
"Female",1984,0.308832719377497,0.301490360885482
"Female",1985,0.29976157033217,0.302221366161311
"Female",1986,0.296868727796,0.302576839048641
"Female",1987,0.281524053765551,0.302323686569561
"Female",1988,0.301020806352507,0.301163777920554
"Female",1989,0.284683163276824,0.299215091663283
"Female",1990,0.321763481034779,0.296868698867606
"Female",1991,0.321926350883518,0.294515670603379
"Female",1992,0.306085782274098,0.292547077940462
"Female",1993,0.293407767957886,0.290595485311907
"Female",1994,0.270578963719999,0.288188454988424
"Female",1995,0.29410953511542,0.285559554796354
"Female",1996,0.284556580870432,0.282942352562038
"Female",1997,0.287476561862035,0.280570416111817
"Female",1998,0.268277085806964,0.278677313272033
"Female",1999,0.257476779864692,0.277042041525181
"Female",2000,0.245918354137162,0.275338490073579
"Female",2001,0.269986958444423,0.273642564323301
"Female",2002,0.253675065783111,0.272030169680417
"Female",2003,0.279861227722238,0.270577211551002
"Female",2004,0.257835259775534,0.2692280492731
"Female",2005,0.25493883077782,0.267899639923437
"Female",2006,0.248587495863933,0.266626785516105
"Female",2007,0.296555157294215,0.265444288065196
"Female",2008,0.273029687296037,0.264386949584801
"Female",2009,0.265654352941474,0.263493315480704
"Female",2010,0.281341936910799,0.26275614408437
"Female",2011,0.246685346884395,0.262141556798412
"Female",2012,0.259955486851462,0.261615675025444
"Female",2013,0.26622808038338,0.261144620168077
