"file","year","state","density","Gender","decade"
"1997_Massachusetts_Southbridge_Southbridge_2-1.png",1997,"Massachusetts",0.364120744172737,"Female","90s"
"1973_California_San-Francisco_Abraham-Lincoln_0-3.png",1973,"California",0.359353592991147,"Female","70s"
"1992_Indiana_Evansville_Harrison_16-16.png",1992,"Indiana",0.357643625590169,"Female","90s"
"1970_California_San-Francisco_Abraham-Lincoln_24-11.png",1970,"California",0.352768804425459,"Female","70s"
"1986_Massachusetts_Plymouth_Plymouth-Carver_2-9.png",1986,"Massachusetts",0.352550295352972,"Female","80s"
"2013_Virginia_Arlington_Washington-Lee_12-4.png",2013,"Virginia",0.33739095676079,"Female","10s"
"1985_Missouri_Kansas-City_Paseo_3-010.png",1985,"Missouri",0.335068248219955,"Female","80s"
"1997_Indiana_Evansville_Harrison_15-1.png",1997,"Indiana",0.334763647306336,"Female","90s"
"1972_California_San-Francisco_Abraham-Lincoln_25-7.png",1972,"California",0.334190674712895,"Female","70s"
"1945_New-York_Brooklyn_Samuel-J-Tilden_f-51-3.png",1945,"New-York",0.331888131476143,"Female","40s"
"2000_Virginia_Arlington_Washington-Lee_f-9-3.png",2000,"Virginia",0.331466989130853,"Female","00s"
"1970_Pennsylvania_Pittsburgh_North-Hills_21-6.png",1970,"Pennsylvania",0.330735849008104,"Female","70s"
"1997_California_Brentwood_Liberty-Union_10-5.png",1997,"California",0.328493743009386,"Female","90s"
"1977_Massachusetts_Southbridge_Southbridge_2-2.png",1977,"Massachusetts",0.327206500062064,"Female","70s"
"1984_New-York_Brooklyn_Samuel-J-Tilden_5-0.png",1984,"New-York",0.327132605240312,"Female","80s"
"1994_California_San-Francisco_Abraham-Lincoln_12-5.png",1994,"California",0.326866383085791,"Female","90s"
"1979_California_San-Francisco_Abraham-Lincoln_24-3.png",1979,"California",0.326751370909122,"Female","70s"
"1980_California_San-Francisco_Abraham-Lincoln_4-3.png",1980,"California",0.326257528181506,"Female","80s"
"1987_New-York_Brooklyn_Samuel-J-Tilden_f-1-11.png",1987,"New-York",0.325952985476436,"Female","80s"
"1982_California_San-Francisco_Abraham-Lincoln_28-5.png",1982,"California",0.325466660732189,"Female","80s"
"1974_California_San-Francisco_Abraham-Lincoln_9-6.png",1974,"California",0.323777713602464,"Female","70s"
"1944_Missouri_Kansas-City_Paseo_f-3-14.png",1944,"Missouri",0.32282647484817,"Female","40s"
"1969_Alabama_Jasper_Dora_9-3.png",1969,"Alabama",0.322268935436605,"Female","60s"
"1974_California_San-Francisco_Abraham-Lincoln_7-7.png",1974,"California",0.321512698348658,"Female","70s"
"1975_California_San-Francisco_Abraham-Lincoln_16-16.png",1975,"California",0.321167546100053,"Female","70s"
"1974_Vermont_Rutland_Rutland_1-02.png",1974,"Vermont",0.3210612519342,"Female","70s"
"1999_California_San-Francisco_Abraham-Lincoln_12-12.png",1999,"California",0.320370190493018,"Female","90s"
"1995_California_Brentwood_Liberty-Union_7-13.png",1995,"California",0.319692870926109,"Female","90s"
"2005_Indiana_Evansville_Harrison_4-17.png",2005,"Indiana",0.319215320538554,"Female","00s"
"1945_New-York_Brooklyn_Samuel-J-Tilden_f-68-0.png",1945,"New-York",0.318463547580655,"Female","40s"
"1976_California_San-Francisco_Abraham-Lincoln_13-11.png",1976,"California",0.318251926209367,"Female","70s"
"1982_California_San-Francisco_Abraham-Lincoln_20-7.png",1982,"California",0.317689068166253,"Female","80s"
"2001_California_San-Francisco_Abraham-Lincoln_10-3.png",2001,"California",0.317593743285062,"Female","00s"
"2004_California_San-Francisco_Abraham-Lincoln_4-0.png",2004,"California",0.316773816731026,"Female","00s"
"1964_California_San-Francisco_Abraham-Lincoln_26-24.png",1964,"California",0.316479485435308,"Female","60s"
"2011_Vermont_Rutland_Rutland_8-8.png",2011,"Vermont",0.316269867136612,"Female","10s"
"1979_California_San-Francisco_Abraham-Lincoln_5-7.png",1979,"California",0.316131013902399,"Female","70s"
"1981_Missouri_Kansas-City_Paseo_3-04.png",1981,"Missouri",0.315111864398035,"Female","80s"
"1946_Missouri_Kansas-City_Paseo_16-9.png",1946,"Missouri",0.314937338869423,"Female","40s"
"2010_Virginia_Arlington_Washington-Lee_f-1-5.png",2010,"Virginia",0.314543601574719,"Female","10s"
